! = OperadorLogico
!= = OperadorRelacional
&& = OperadorLogico
& = Caracter
|| = OperadorLogico
| = Caracter
++ = IncrementoTermino
+ = OperadorTermino
-- = IncrementoTermino
- = OperadorTermino
* = OperadorFactor
/ = OperadorFactor
% = OperadorFactor
+= = IncrementoTermino
-= = IncrementoTermino
*= = IncrementoFactor
/= = IncrementoFactor
%= = IncrementoFactor
x26 = Identificador
= = Asignacion
38.5e+10 = Numero
? = Ternario
== = OperadorRelacional
= = Asignacion
< = OperadorRelacional
<> = OperadorRelacional
>= = OperadorRelacional
= = Asignacion
:= = Inicializacion
. = Caracter
